_id,listing_url,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,images,review_scores,host_id,host_url,host_name,host_location,host_response_time,host_thumbnail_url,host_picture_url,host_neighbourhood,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,host_verifications,street,suburb,government_area,market,country,country_code,location_type,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365,amenities
1003530,https://www.airbnb.com/rooms/1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,1,70,1,135,135,0,1,{'picture_url': 'https://a0.muscache.com/im/pictures/15074036/a97119ed_original.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 94}",454250,https://www.airbnb.com/users/show/454250,Greta,"New York, New York, United States",within an hour,https://a0.muscache.com/im/pictures/f1022be4-e72a-4b35-b6d2-3d2736ddaff9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/f1022be4-e72a-4b35-b6d2-3d2736ddaff9.jpg?aki_policy=profile_x_medium,Not Specified,100.0,Yes,Yes,Yes,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,Point,-73.96523,40.79962,False,0,0,0,93,"['Air conditioning', 'Buzzer/wireless intercom', 'Dryer', 'Elevator', 'Family/kid friendly', 'Heating', 'Internet', 'Kitchen', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50']"
10133554,https://www.airbnb.com/rooms/10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1,2,29,1,121,0,0,1,{'picture_url': 'https://a0.muscache.com/im/pictures/68de30b5-ece5-42ab-8152-c1834d5e25fd.jpg?aki_policy=large'},"{'review_scores_accuracy': 9, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 9, 'review_scores_rating': 92}",52004703,https://www.airbnb.com/users/show/52004703,Mehmet Emin,"Istanbul, İstanbul, Turkey",within a few hours,https://a0.muscache.com/im/pictures/user/4cb6be34-659b-42cc-a93d-77a5d3501e7a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4cb6be34-659b-42cc-a93d-77a5d3501e7a.jpg?aki_policy=profile_x_medium,Not Specified,100.0,No,Yes,Yes,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']","Fatih , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,Point,28.98009,41.0062,False,30,60,90,365,"['Air conditioning', 'Building staff', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Shampoo', 'Smoking allowed', 'Suitable for events', 'Washer', 'Wifi']"
10059872,https://www.airbnb.com/rooms/10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,2,3,1,699,0,0,1,{'picture_url': 'https://a0.muscache.com/im/pictures/4533a1dc-6fd8-4167-938d-391c6eebbc19.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 8, 'review_scores_rating': 100}",51624384,https://www.airbnb.com/users/show/51624384,Giovanni,"Hong Kong, Hong Kong",0,https://a0.muscache.com/im/pictures/264b82a7-756f-4da8-b607-dc9759e2a10f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/264b82a7-756f-4da8-b607-dc9759e2a10f.jpg?aki_policy=profile_x_medium,Soho,0.0,No,Yes,No,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,114.15027,22.28158,True,0,0,0,0,"['24-hour check-in', 'Air conditioning', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Heating', 'Kitchen', 'Smoking allowed', 'translation missing: en.hosting_amenity_50']"
10084023,https://www.airbnb.com/rooms/10084023,City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1,1,81,1,181,50,100,1,{'picture_url': 'https://a0.muscache.com/im/pictures/e6275515-7d73-4a70-bdc4-39ba6497e7d3.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 8, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 92}",51744313,https://www.airbnb.com/users/show/51744313,Yi,United States,within an hour,https://a0.muscache.com/im/pictures/user/a204d442-1ae1-47fc-8d26-cf0ff9efda1b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a204d442-1ae1-47fc-8d26-cf0ff9efda1b.jpg?aki_policy=profile_x_medium,Shek Kip Mei,100.0,No,Yes,Yes,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,114.1669,22.3314,True,14,24,40,220,"['Air conditioning', 'Dishes and silverware', 'Elevator', 'First aid kit', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Refrigerator', 'Stove', 'TV', 'Wifi']"
10091713,https://www.airbnb.com/rooms/10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0,1,64,1,181,50,0,1,{'picture_url': 'https://a0.muscache.com/im/pictures/f8eaba4e-d211-42fb-a3ca-887c0ff766f8.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 9, 'review_scores_rating': 95}",13764143,https://www.airbnb.com/users/show/13764143,Ben,"New South Wales, Australia",0,https://a0.muscache.com/im/pictures/03c4d82b-7e4a-4457-976d-c4e9dfdb13fa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/03c4d82b-7e4a-4457-976d-c4e9dfdb13fa.jpg?aki_policy=profile_x_medium,Surry Hills,0.0,No,Yes,Yes,1,1,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']","Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,151.21554,-33.88029,True,0,0,0,0,"['Bed linens', 'Dryer', 'Elevator', 'Essentials', 'Ethernet connection', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Other', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']"
10112159,https://www.airbnb.com/rooms/10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,2,1,1,0,1,40,50,25,2,{'picture_url': 'https://a0.muscache.com/im/pictures/442ad717-ecf2-4bb5-a186-17a46cfb5f5f.jpg?aki_policy=large'},{},2649859,https://www.airbnb.com/users/show/2649859,Elisabete,"Porto, Porto, Portugal",0,https://a0.muscache.com/im/pictures/3e7725d5-79ea-4290-a99c-5bd5e0691f02.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/3e7725d5-79ea-4290-a99c-5bd5e0691f02.jpg?aki_policy=profile_x_medium,Not Specified,0.0,No,Yes,Yes,2,2,"['email', 'phone', 'reviews', 'jumio', 'government_id']","Porto, Porto, Portugal",Not Specified,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,-8.60867,41.1543,False,30,60,87,359,"['Cable TV', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Hot water', 'Lock on bedroom door', 'Long term stays allowed', 'Other', 'Shampoo', 'Smoke detector', 'TV', 'Wifi']"
10096773,https://www.airbnb.com/rooms/10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1,1,1,1,145,60,0,1,{'picture_url': 'https://a0.muscache.com/im/pictures/ceb6e8b2-d006-4f1f-b0c4-001e48de11db.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}",34607505,https://www.airbnb.com/users/show/34607505,Scott,"New York, New York, United States",0,https://a0.muscache.com/im/pictures/675cec89-71eb-4ca7-bacd-bbed62ef6fad.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/675cec89-71eb-4ca7-bacd-bbed62ef6fad.jpg?aki_policy=profile_x_medium,Chelsea,0.0,No,Yes,Yes,1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","New York, NY, United States",Manhattan,Chelsea,New York,United States,US,Point,-74.00074,40.74577,True,0,0,0,0,"['Carbon monoxide detector', 'Essentials', 'Fire extinguisher', 'Heating', 'Internet', 'Kitchen', 'Smoke detector', 'TV', 'Wifi']"
10140368,https://www.airbnb.com/rooms/10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1,1,239,1,45,0,10,1,{'picture_url': 'https://a0.muscache.com/im/pictures/e15dbb07-8de4-4e4e-9217-1d0763419532.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 9, 'review_scores_value': 10, 'review_scores_rating': 95}",1017772,https://www.airbnb.com/users/show/1017772,Lane,US,within an hour,https://a0.muscache.com/im/pictures/user/0a118b69-9d68-4b0e-99ba-34fefc2df36b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0a118b69-9d68-4b0e-99ba-34fefc2df36b.jpg?aki_policy=profile_x_medium,Jamaica,100.0,Yes,Yes,Yes,1,1,"['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline', 'jumio', 'government_id']","Queens, NY, United States",Queens,Briarwood,New York,United States,US,Point,-73.82257,40.71485,True,20,29,29,34,"['Carbon monoxide detector', 'Essentials', 'Family/kid friendly', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Private entrance', 'Shampoo', 'Smoke detector', 'Wifi', 'translation missing: en.hosting_amenity_50']"
10021707,https://www.airbnb.com/rooms/10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1,40,0,0,1,{'picture_url': 'https://a0.muscache.com/im/pictures/72844c8c-fec2-440e-a752-bba9b268c361.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 8, 'review_scores_value': 8, 'review_scores_rating': 100}",11275734,https://www.airbnb.com/users/show/11275734,Josh,"New York, New York, United States",0,https://a0.muscache.com/im/users/11275734/profile_pic/1405792127/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11275734/profile_pic/1405792127/original.jpg?aki_policy=profile_x_medium,Bushwick,0.0,No,Yes,Yes,1,1,"['email', 'phone', 'reviews', 'kba']","Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,Point,-73.93615,40.69791,True,0,0,0,0,"['Air conditioning', 'Buzzer/wireless intercom', 'Carbon monoxide detector', 'Essentials', 'Heating', 'Internet', 'Kitchen', 'Lock on bedroom door', 'Smoke detector', 'Wifi']"
10038496,https://www.airbnb.com/rooms/10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,3,70,2,119,150,40,3,{'picture_url': 'https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 98}",51530266,https://www.airbnb.com/users/show/51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,https://a0.muscache.com/im/pictures/8c7bb5fe-7b6d-4d03-a465-aae8971a87a0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/8c7bb5fe-7b6d-4d03-a465-aae8971a87a0.jpg?aki_policy=profile_x_medium,Copacabana,100.0,Yes,Yes,Yes,2,2,"['email', 'phone', 'reviews', 'jumio', 'government_id']","Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-43.190849194463404,-22.984339360067814,False,7,19,33,118,"['Air conditioning', 'Bed linens', 'Buzzer/wireless intercom', 'Cable TV', 'Coffee maker', 'Dishes and silverware', 'Doorman', 'Elevator', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Oven', 'Paid parking off premises', 'Refrigerator', 'Smoking allowed', 'Stove', 'TV', 'Washer', 'Wide hallway clearance', 'Wifi']"
